id_avaliacao,id_loja,data,nota,canal,tempo_espera_min,comentario
AV0042,LJ02,2025-12-06,5,App,,"Cold brew excelente"
AV0043,LJ02,12/08/2025,5,Google,8,"Wi-fi funciona bem, virei cliente da manhã"
AV0044,LJ02,2026-03-31,4,Google,9,"Equipe atenciosa, já conhecem meu pedido"
AV0045,LJ02,08/12/2025,5,totem na loja,4,"Pão de queijo sempre quente"
AV0046,LJ02,24.05.2026,5,app,8,"Wi-fi funciona bem, virei cliente da manhã"
AV0047,LJ02,2025-08-03,5,app,7,"Café muito bom, atendimento rápido"
AV0048,LJ02,25/09/2025,4,App,5,"Pão de queijo sempre quente"
AV0049,LJ02,2026-01-21,4,Google,7,
AV0050,LJ02,01/11/2025,5,Google,9,"Café muito bom, atendimento rápido"
AV0051,lj02,02.08.2025,4 estrelas,app,8,
AV0052,LJ02,2025-09-14,4,app,5,"Melhor espresso da região"
AV0053,LJ02,22/02/2026,"4,0",app,8,"Preço justo pelo que entrega"
AV0054,LJ02,2025-10-07,5,app,6,"Equipe atenciosa, já conhecem meu pedido"
AV0055,LJ02,10/01/2026,4,Google,7,"Preço justo pelo que entrega"
AV0056,LJ02,16.06.2026,3,Google,8,"Café bom mas o atendimento demorou"
AV0057,lj02,2026-05-15,5,google maps,7,"Café muito bom, atendimento rápido"
AV0058,LJ02,01/12/2025,4,App,4,
AV0059,LJ02,2026-03-14,5,app,9,"Preço justo pelo que entrega"
AV0060,LJ02,10/06/2026,5,App,9,"Melhor espresso da região"
AV0061,LJ02,26.12.2025,5,google maps,8,"Wi-fi funciona bem, virei cliente da manhã"
AV0062,LJ02,2026-04-22,4,Google,4,"Preço justo pelo que entrega"
AV0063,LJ02,02/03/2026,5,totem na loja,5,"Preço justo pelo que entrega"
AV0064,LJ02,2025-08-21,"5,0",Google,9,"Café muito bom, atendimento rápido"
AV0065,lj02,06/09/2025,4,Google,5,"Café muito bom, atendimento rápido"
AV0066,LJ02,14.06.2026,5,totem na loja,999,
AV0067,LJ03,2026-06-05,5,Google,9,"Preço justo pelo que entrega"
AV0068,LJ03,11/04/2026,5,Google,9,"Cold brew excelente"
AV0069,LJ03,2026-03-02,4,App,999,"Preço justo pelo que entrega"
AV0070,LJ03,03/08/2025,5,App,5,"Pão de queijo sempre quente"
AV0071,LJ03,26.02.2026,4,Google,6,"Ambiente agradável para trabalhar"
AV0072,LJ03,2026-06-14,5,Google,10,"Cold brew excelente"
AV0073,LJ03,29/08/2025,4,app,8,"Preço justo pelo que entrega"
AV0074,LJ03,2025-11-29,quatro,totem na loja,999,"Cold brew excelente"
AV0075,lj03,28/04/2026,4,Google,5,"Cold brew excelente"
AV0076,LJ03,28.04.2026,5,google maps,9,"Ambiente agradável para trabalhar"
AV0077,LJ03,2025-07-18,3,totem na loja,999,
AV0078,LJ03,08/05/2026,5,Google,10,"Pão de queijo sempre quente"
AV0079,LJ03,2026-01-11,4,totem na loja,11,"Pão de queijo sempre quente"
AV0080,LJ03,01/05/2026,5,Google,9,"Cold brew excelente"
AV0081,LJ03,25.05.2026,5,App,11,"Cold brew excelente"
AV0082,lj03,2025-08-25,"4,0",Google,7,
AV0083,LJ03,24/02/2026,"4,0",totem na loja,5,"Wi-fi funciona bem, virei cliente da manhã"
AV0084,LJ03,2025-10-22,5,App,10,"Melhor espresso da região"
AV0085,LJ03,09/08/2025,4,App,10,"Pão de queijo sempre quente"
AV0086,LJ03,11.11.2025,4,google maps,999,
AV0087,LJ03,2025-08-09,5,totem na loja,7,"Cold brew excelente"
AV0088,LJ03,27/10/2025,3,google maps,7,"Café bom, cardápio poderia ter mais opções"
AV0089,LJ03,2025-10-07,4,Google,5,"Pão de queijo sempre quente"
AV0090,LJ03,30/10/2025,4,App,7,"Preço justo pelo que entrega"
AV0091,LJ03,02.06.2026,4,App,999,"Melhor espresso da região"
AV0092,LJ03,2026-05-14,5,google maps,10,
AV0093,LJ03,18/08/2025,quatro,app,5,"Pão de queijo sempre quente"
AV0094,LJ03,2026-02-16,5,App,7,"Ambiente agradável para trabalhar"
AV0095,LJ03,28/02/2026,"4,0",app,7,"Melhor espresso da região"
AV0096,LJ03,27.07.2025,5,App,6,"Ambiente agradável para trabalhar"
AV0097,LJ03,2026-02-12,5,app,5,"Equipe atenciosa, já conhecem meu pedido"
AV0098,LJ03,26/10/2025,4,google maps,999,
AV0099,LJ03,2025-08-22,5,Google,7,
AV0100,LJ04,09/11/2025,4,App,18,"Equipe atenciosa, já conhecem meu pedido"
AV0101,LJ04,19.10.2025,4,totem na loja,11,"Café muito bom, atendimento rápido"
AV0102,LJ04,2025-09-22,3,app,17,"Bom, mas faltava opção sem lactose"
AV0103,LJ04,01/10/2025,3,app,10,
AV0104,LJ04,2025-09-12,3,Google,8,"Bom, mas faltava opção sem lactose"
AV0105,LJ04,02/06/2026,3,google maps,11,"Atendimento ok, mesa suja quando cheguei"
AV0106,LJ04,21.06.2026,3,Google,8,
AV0107,LJ04,2026-06-17,"2,0",App,14,"Só tinha um atendente no horário de pico"
AV0108,LJ04,09/08/2025,3,App,,"Gostei, só achei o lugar cheio demais"
AV0109,LJ04,2025-09-15,3,totem na loja,17,"Atendimento ok, mesa suja quando cheguei"
AV0110,LJ04,21/03/2026,"4,0",App,18,"Cold brew excelente"
AV0111,LJ04,19.08.2025,3,Google,18,"Bom, mas faltava opção sem lactose"
AV0112,LJ04,2025-10-29,4,Google,18,
AV0113,LJ04,25/03/2026,4,totem na loja,13,"Equipe atenciosa, já conhecem meu pedido"
AV0114,LJ04,2025-10-29,3,totem na loja,9,"Café bom, cardápio poderia ter mais opções"
AV0115,LJ04,11/01/2026,3,totem na loja,10,
AV0116,LJ04,12.08.2025,5,totem na loja,14,"Wi-fi funciona bem, virei cliente da manhã"
AV0117,LJ04,2026-03-07,3,Google,16,"Atendimento ok, mesa suja quando cheguei"
AV0118,LJ04,18/10/2025,4,App,9,"Cold brew excelente"
AV0119,LJ04,2026-01-12,3,totem na loja,15,"Café bom mas o atendimento demorou"
AV0120,LJ04,14/07/2025,3,app,9,"Café bom, cardápio poderia ter mais opções"
AV0121,LJ04,18.01.2026,4,google maps,17,"Melhor espresso da região"
AV0122,LJ04,2026-03-14,3,App,14,"Atendimento ok, mesa suja quando cheguei"
AV0123,LJ04,13/07/2025,"4,0",Google,13,"Melhor espresso da região"
AV0124,LJ04,2026-03-20,3,app,14,"Atendimento ok, mesa suja quando cheguei"
AV0125,LJ04,02/08/2025,5,Google,8,"Pão de queijo sempre quente"
AV0126,LJ04,16.05.2026,3,totem na loja,15,"Atendimento ok, mesa suja quando cheguei"
AV0127,LJ04,2026-01-28,4,google maps,17,"Cold brew excelente"
AV0128,LJ04,27/02/2026,3,totem na loja,9,"Café bom mas o atendimento demorou"
AV0129,LJ04,2025-07-16,3,Google,17,"Bom, mas faltava opção sem lactose"
AV0130,LJ04,20/05/2026,4 estrelas,Google,9,"Pão de queijo sempre quente"
AV0131,LJ04,29.03.2026,4,Google,11,"Equipe atenciosa, já conhecem meu pedido"
AV0132,LJ04,2025-09-17,3,App,14,"Café bom, cardápio poderia ter mais opções"
AV0133,lj05,31/05/2026,quatro,totem na loja,4,
AV0134,LJ05,2026-03-21,4,google maps,,
AV0135,LJ05,16/10/2025,5 estrelas,Google,4,"Café muito bom, atendimento rápido"
AV0136,LJ05,16.01.2026,quatro,app,7,
AV0137,LJ05,2025-12-30,4,app,4,"Café muito bom, atendimento rápido"
AV0138,LJ05,09/11/2025,5,Google,999,"Pão de queijo sempre quente"
AV0139,LJ05,2026-06-12,5,Google,3,"Preço justo pelo que entrega"
AV0140,LJ05,16/01/2026,4,Google,3,"Cold brew excelente"
AV0141,lj05,18.04.2026,4,totem na loja,,"Melhor espresso da região"
AV0142,LJ05,2025-07-25,4,app,5,"Pão de queijo sempre quente"
AV0143,LJ05,09/02/2026,4,Google,4,
AV0144,LJ05,2025-10-23,3,totem na loja,7,"Café bom mas o atendimento demorou"
AV0145,lj05,16/07/2025,"5,0",google maps,3,"Ambiente agradável para trabalhar"
AV0146,LJ05,08.01.2026,5 estrelas,App,6,"Preço justo pelo que entrega"
AV0147,LJ05,2026-03-14,"3,0",google maps,999,
AV0148,LJ05,25/12/2025,4,app,,"Preço justo pelo que entrega"
AV0149,LJ05,2026-05-26,4,Google,7,"Pão de queijo sempre quente"
AV0150,LJ05,30/09/2025,4,Google,999,"Ambiente agradável para trabalhar"
AV0151,LJ05,28.10.2025,3 estrelas,Google,3,"Bom, mas faltava opção sem lactose"
AV0152,LJ05,2025-07-16,4,google maps,,"Preço justo pelo que entrega"
AV0153,LJ05,17/11/2025,4,google maps,4,"Wi-fi funciona bem, virei cliente da manhã"
AV0154,LJ05,2025-07-04,5,Google,6,"Cold brew excelente"
AV0155,LJ05,04/02/2026,4,Google,6,"Ambiente agradável para trabalhar"
AV0156,LJ05,10.10.2025,5,Google,6,"Café muito bom, atendimento rápido"
AV0157,lj05,2026-04-04,4,App,5,"Equipe atenciosa, já conhecem meu pedido"
AV0158,LJ05,13/02/2026,4,totem na loja,4,"Cold brew excelente"
AV0159,LJ05,2025-09-02,4,Google,4,
AV0160,LJ05,15/03/2026,3,Google,5,"Gostei, só achei o lugar cheio demais"
AV0161,LJ05,16.05.2026,cinco,Google,4,"Cold brew excelente"
AV0162,LJ05,2025-10-28,4,App,4,
AV0163,LJ05,19/04/2026,5,totem na loja,999,"Melhor espresso da região"
AV0164,LJ05,2025-09-14,4,Google,7,"Ambiente agradável para trabalhar"
AV0165,lj05,22/01/2026,5,Google,7,"Pão de queijo sempre quente"
AV0166,LJ06,23.07.2025,5 estrelas,Google,7,"Café muito bom, atendimento rápido"
AV0167,LJ06,2025-09-12,5,Google,6,"Pão de queijo sempre quente"
AV0168,LJ06,29/01/2026,"4,0",google maps,7,"Cold brew excelente"
AV0169,LJ06,2026-04-03,4,App,4,"Ambiente agradável para trabalhar"
AV0170,LJ06,27/12/2025,5,Google,7,"Ambiente agradável para trabalhar"
AV0171,lj06,23.02.2026,5,App,6,"Melhor espresso da região"
AV0172,LJ06,2025-07-24,5,Google,6,"Preço justo pelo que entrega"
AV0173,LJ06,26/02/2026,5 estrelas,Google,4,"Pão de queijo sempre quente"
AV0174,lj06,2026-02-07,5,google maps,3,"Café muito bom, atendimento rápido"
AV0175,LJ06,12/04/2026,4,app,7,"Cold brew excelente"
AV0176,LJ06,17.01.2026,5,Google,5,"Cold brew excelente"
AV0177,LJ06,2025-08-25,5,App,5,"Preço justo pelo que entrega"
AV0178,LJ06,28/08/2025,4,Google,7,"Preço justo pelo que entrega"
AV0179,LJ06,2025-08-20,5,totem na loja,3,"Preço justo pelo que entrega"
AV0180,LJ06,01/10/2025,5,App,6,"Cold brew excelente"
AV0181,LJ06,16.02.2026,5,google maps,7,"Equipe atenciosa, já conhecem meu pedido"
AV0182,LJ06,2026-03-07,4,totem na loja,7,
AV0183,LJ06,26/07/2025,5,google maps,,"Equipe atenciosa, já conhecem meu pedido"
AV0184,LJ06,2026-06-16,"4,0",google maps,5,
AV0185,LJ06,18/11/2025,5,google maps,6,"Pão de queijo sempre quente"
AV0186,LJ06,12.04.2026,4,app,7,"Wi-fi funciona bem, virei cliente da manhã"
AV0187,LJ06,2025-08-24,4,Google,7,"Preço justo pelo que entrega"
AV0188,LJ06,02/04/2026,cinco,Google,6,"Preço justo pelo que entrega"
AV0189,LJ06,2026-05-02,"5,0",App,5,"Café muito bom, atendimento rápido"
AV0190,LJ06,25/01/2026,5,app,4,"Wi-fi funciona bem, virei cliente da manhã"
AV0191,LJ06,23.10.2025,5,totem na loja,5,"Equipe atenciosa, já conhecem meu pedido"
AV0192,lj06,2026-01-26,4,google maps,4,"Cold brew excelente"
AV0193,LJ06,08/05/2026,4,Google,5,"Pão de queijo sempre quente"
AV0194,LJ06,2025-12-25,5,Google,7,"Café muito bom, atendimento rápido"
AV0195,LJ06,08/12/2025,4,Google,7,"Cold brew excelente"
AV0196,LJ06,08.08.2025,4,Google,7,"Wi-fi funciona bem, virei cliente da manhã"
AV0197,LJ06,2026-06-25,4,google maps,4,"Pão de queijo sempre quente"
AV0198,LJ06,06/02/2026,5,app,4,"Melhor espresso da região"
AV0199,LJ07,2025-07-19,4,google maps,8,"Preço justo pelo que entrega"
AV0200,LJ07,10/03/2026,4,Google,8,"Ambiente agradável para trabalhar"
AV0201,LJ07,06.09.2025,3,app,5,"Bom, mas faltava opção sem lactose"
AV0202,LJ07,2026-01-09,5,google maps,999,"Café muito bom, atendimento rápido"
AV0203,LJ07,10/02/2026,4,Google,5,"Pão de queijo sempre quente"
AV0204,LJ07,2026-01-09,4,Google,5,"Cold brew excelente"
AV0205,LJ07,27/05/2026,4,Google,5,"Equipe atenciosa, já conhecem meu pedido"
AV0206,LJ07,12.10.2025,3,Google,6,"Café bom, cardápio poderia ter mais opções"
AV0207,LJ07,2026-04-21,4,Google,10,"Pão de queijo sempre quente"
AV0208,LJ07,27/09/2025,4,totem na loja,6,"Preço justo pelo que entrega"
AV0209,LJ07,2025-08-26,4,Google,999,
AV0210,LJ07,01/10/2025,4,App,8,"Ambiente agradável para trabalhar"
AV0211,LJ07,27.11.2025,4,Google,6,"Ambiente agradável para trabalhar"
AV0212,LJ07,2026-01-27,4 estrelas,Google,8,"Ambiente agradável para trabalhar"
AV0213,LJ07,23/05/2026,5,totem na loja,9,
AV0214,LJ07,2026-04-12,5,google maps,9,"Ambiente agradável para trabalhar"
AV0215,LJ07,08/08/2025,4,App,6,"Preço justo pelo que entrega"
AV0216,LJ07,26.12.2025,4,app,5,"Wi-fi funciona bem, virei cliente da manhã"
AV0217,LJ07,2026-05-23,4,App,5,"Café muito bom, atendimento rápido"
AV0218,LJ07,24/12/2025,5,App,9,
AV0219,LJ07,2026-01-17,5,Google,5,"Cold brew excelente"
AV0220,LJ07,08/02/2026,3,App,9,"Café bom mas o atendimento demorou"
AV0221,LJ07,13.09.2025,"5,0",google maps,7,"Wi-fi funciona bem, virei cliente da manhã"
AV0222,LJ07,2026-06-30,5,App,6,"Wi-fi funciona bem, virei cliente da manhã"
AV0223,LJ07,28/12/2025,"5,0",app,7,"Ambiente agradável para trabalhar"
AV0224,LJ07,2026-06-24,5,Google,,"Wi-fi funciona bem, virei cliente da manhã"
AV0225,LJ07,09/03/2026,5,Google,9,
AV0226,lj07,18.10.2025,4,google maps,5,"Cold brew excelente"
AV0227,LJ07,2025-12-17,5,totem na loja,6,"Melhor espresso da região"
AV0228,LJ07,09/11/2025,4,App,999,"Wi-fi funciona bem, virei cliente da manhã"
AV0229,LJ07,2025-10-27,5,totem na loja,8,"Ambiente agradável para trabalhar"
AV0230,LJ07,16/09/2025,3,Google,10,
AV0231,LJ07,21.09.2025,quatro,google maps,8,"Cold brew excelente"
AV0232,LJ08,2025-09-24,5,google maps,11,"Ambiente agradável para trabalhar"
AV0233,LJ08,15/10/2025,3,App,9,"Café bom mas o atendimento demorou"
AV0234,LJ08,2025-07-12,5,App,6,"Pão de queijo sempre quente"
AV0235,LJ08,27/08/2025,4,Google,,"Cold brew excelente"
AV0236,LJ08,07.05.2026,4,Google,12,"Pão de queijo sempre quente"
AV0237,LJ08,2026-05-17,4 estrelas,Google,9,"Melhor espresso da região"
AV0238,LJ08,14/07/2025,5,totem na loja,7,"Preço justo pelo que entrega"
AV0239,LJ08,2026-02-16,3,totem na loja,9,"Café bom, cardápio poderia ter mais opções"
AV0240,LJ08,02/07/2025,5,Google,9,"Preço justo pelo que entrega"
AV0241,LJ08,19.09.2025,três,totem na loja,12,"Café bom mas o atendimento demorou"
AV0242,LJ08,2026-03-16,3,google maps,5,
AV0243,LJ08,26/01/2026,3,google maps,12,"Café bom, cardápio poderia ter mais opções"
AV0244,LJ08,2026-02-15,5,App,11,"Wi-fi funciona bem, virei cliente da manhã"
AV0245,lj08,01/06/2026,4,App,6,"Equipe atenciosa, já conhecem meu pedido"
AV0246,LJ08,15.10.2025,5,Google,8,"Wi-fi funciona bem, virei cliente da manhã"
AV0247,lj08,2026-06-24,3,app,,"Café bom mas o atendimento demorou"
AV0248,LJ08,18/04/2026,4,google maps,6,"Cold brew excelente"
AV0249,LJ08,2026-05-19,4 estrelas,Google,12,
AV0250,LJ08,16/04/2026,4,App,6,"Wi-fi funciona bem, virei cliente da manhã"
AV0251,LJ08,15.10.2025,4,App,12,"Melhor espresso da região"
AV0252,lj08,2026-01-31,4,Google,11,
AV0253,lj08,25/05/2026,3,google maps,11,"Atendimento ok, mesa suja quando cheguei"
AV0254,LJ08,2025-11-15,4,Google,10,"Cold brew excelente"
AV0255,LJ08,05/05/2026,4,google maps,,"Melhor espresso da região"
AV0256,LJ08,25.01.2026,4,totem na loja,8,"Pão de queijo sempre quente"
AV0257,LJ08,2025-12-25,3,Google,6,"Café bom, cardápio poderia ter mais opções"
AV0258,LJ08,12/11/2025,5,app,999,"Wi-fi funciona bem, virei cliente da manhã"
AV0259,LJ08,2026-04-10,três,Google,12,"Bom, mas faltava opção sem lactose"
AV0260,LJ08,07/02/2026,3,Google,6,"Gostei, só achei o lugar cheio demais"
AV0261,LJ08,11.02.2026,5,Google,5,"Wi-fi funciona bem, virei cliente da manhã"
AV0262,LJ08,2026-05-23,4,app,11,"Preço justo pelo que entrega"
AV0263,LJ08,20/05/2026,"5,0",Google,9,"Ambiente agradável para trabalhar"
AV0264,LJ08,2025-07-09,5,Google,6,"Wi-fi funciona bem, virei cliente da manhã"
AV0265,LJ09,09/10/2025,4,Google,8,"Pão de queijo sempre quente"
AV0266,LJ09,22.12.2025,4,App,9,"Wi-fi funciona bem, virei cliente da manhã"
AV0267,LJ09,2026-04-07,4,App,6,"Pão de queijo sempre quente"
AV0268,LJ09,09/01/2026,4,totem na loja,12,"Ambiente agradável para trabalhar"
AV0269,LJ09,2026-05-31,2,app,13,"Pedi cappuccino e veio frio"
AV0270,LJ09,20/11/2025,quatro,google maps,12,"Preço justo pelo que entrega"
AV0271,LJ09,09.11.2025,"3,0",totem na loja,11,
AV0272,LJ09,2025-12-01,3,Google,10,"Atendimento ok, mesa suja quando cheguei"
AV0273,LJ09,25/03/2026,3,google maps,8,
AV0274,LJ09,2026-04-11,4,Google,8,
AV0275,LJ09,03/07/2025,4,Google,,"Café muito bom, atendimento rápido"
AV0276,LJ09,29.04.2026,3,Google,9,"Café bom mas o atendimento demorou"
AV0277,LJ09,2025-09-21,3,App,11,"Atendimento ok, mesa suja quando cheguei"
AV0278,lj09,02/07/2025,4,Google,6,"Pão de queijo sempre quente"
AV0279,LJ09,2026-05-20,2,Google,16,"Fila enorme, esperei mais de 15 minutos"
AV0280,lj09,13/08/2025,3,App,11,"Gostei, só achei o lugar cheio demais"
AV0281,LJ09,20.02.2026,três,Google,7,"Atendimento ok, mesa suja quando cheguei"
AV0282,LJ09,2026-05-03,4,Google,11,
AV0283,LJ09,01/06/2026,3,Google,,
AV0284,LJ09,2026-01-28,4,Google,7,"Cold brew excelente"
AV0285,lj09,25/04/2026,3,totem na loja,,"Café bom, cardápio poderia ter mais opções"
AV0286,LJ09,05.11.2025,5,Google,6,"Ambiente agradável para trabalhar"
AV0287,LJ09,2025-12-24,4 estrelas,Google,11,"Preço justo pelo que entrega"
AV0288,LJ09,22/07/2025,3,app,,"Gostei, só achei o lugar cheio demais"
AV0289,LJ09,2025-07-29,3,Google,11,
AV0290,LJ09,14/04/2026,3,google maps,10,
AV0291,LJ09,07.08.2025,4,totem na loja,,"Cold brew excelente"
AV0292,LJ09,2026-04-19,3,totem na loja,6,"Gostei, só achei o lugar cheio demais"
AV0293,LJ09,28/08/2025,3,Google,,"Gostei, só achei o lugar cheio demais"
AV0294,LJ09,2025-12-06,4,totem na loja,9,
AV0295,LJ09,28/01/2026,"3,0",app,12,
AV0296,LJ09,29.09.2025,5,google maps,,"Pão de queijo sempre quente"
AV0297,LJ09,2025-09-15,quatro,totem na loja,11,"Melhor espresso da região"
AV0298,LJ10,22/11/2025,5,totem na loja,11,"Wi-fi funciona bem, virei cliente da manhã"
AV0299,LJ10,2025-11-04,3,Google,8,"Café bom, cardápio poderia ter mais opções"
AV0300,LJ10,02/11/2025,3,Google,10,"Café bom mas o atendimento demorou"
AV0301,LJ10,11.11.2025,"3,0",totem na loja,9,"Gostei, só achei o lugar cheio demais"
AV0302,lj10,2025-12-28,3,app,6,"Café bom, cardápio poderia ter mais opções"
AV0303,LJ10,08/10/2025,3,totem na loja,5,"Café bom mas o atendimento demorou"
AV0304,LJ10,2026-01-28,4,google maps,6,"Cold brew excelente"
AV0305,LJ10,22/04/2026,4,Google,7,"Ambiente agradável para trabalhar"
AV0306,LJ10,11.06.2026,4,totem na loja,9,"Ambiente agradável para trabalhar"
AV0307,LJ10,2026-06-22,4,App,9,"Equipe atenciosa, já conhecem meu pedido"
AV0308,LJ10,09/11/2025,4,totem na loja,6,"Wi-fi funciona bem, virei cliente da manhã"
AV0309,LJ10,2025-12-16,5,Google,11,"Cold brew excelente"
AV0310,LJ10,17/11/2025,"4,0",App,11,"Ambiente agradável para trabalhar"
AV0311,lj10,06.12.2025,5 estrelas,App,6,
AV0312,LJ10,2026-03-24,4,google maps,11,"Melhor espresso da região"
AV0313,LJ10,17/11/2025,3,totem na loja,7,"Café bom, cardápio poderia ter mais opções"
AV0314,LJ10,2026-03-04,4,Google,10,"Ambiente agradável para trabalhar"
AV0315,LJ10,15/04/2026,4,Google,10,"Café muito bom, atendimento rápido"
AV0316,LJ10,26.10.2025,4,google maps,8,"Café muito bom, atendimento rápido"
AV0317,LJ10,2025-09-15,5,Google,8,"Café muito bom, atendimento rápido"
AV0318,LJ10,30/01/2026,4 estrelas,google maps,10,"Pão de queijo sempre quente"
AV0319,LJ10,2025-09-21,3,Google,8,
AV0320,LJ10,17/03/2026,5,Google,8,
AV0321,lj10,22.05.2026,"4,0",app,6,"Equipe atenciosa, já conhecem meu pedido"
AV0322,LJ10,2026-01-27,5,google maps,9,"Equipe atenciosa, já conhecem meu pedido"
AV0323,LJ10,10/10/2025,5,totem na loja,9,"Equipe atenciosa, já conhecem meu pedido"
AV0324,LJ11,2026-04-05,"5,0",app,4,
AV0325,LJ11,17/04/2026,4,app,5,"Café muito bom, atendimento rápido"
AV0326,LJ11,07.12.2025,5,google maps,999,"Preço justo pelo que entrega"
AV0327,LJ11,2026-03-05,4,App,5,"Cold brew excelente"
AV0328,LJ11,31/05/2026,5,Google,4,"Equipe atenciosa, já conhecem meu pedido"
AV0329,LJ11,2026-04-10,4,Google,3,"Wi-fi funciona bem, virei cliente da manhã"
AV0330,LJ11,01/01/2026,4 estrelas,totem na loja,6,"Equipe atenciosa, já conhecem meu pedido"
AV0331,LJ11,14.05.2026,5,App,3,"Preço justo pelo que entrega"
AV0332,LJ11,2026-01-28,4,Google,4,"Pão de queijo sempre quente"
AV0333,LJ11,01/06/2026,4,Google,4,"Cold brew excelente"
AV0334,LJ11,2025-12-28,3,Google,5,"Bom, mas faltava opção sem lactose"
AV0335,LJ11,24/12/2025,4,Google,4,"Preço justo pelo que entrega"
AV0336,lj11,25.03.2026,4,Google,3,
AV0337,LJ11,2026-05-11,quatro,Google,4,"Café muito bom, atendimento rápido"
AV0338,LJ11,03/06/2026,5,google maps,6,"Ambiente agradável para trabalhar"
AV0339,LJ11,2026-03-16,5,Google,6,"Cold brew excelente"
AV0340,LJ11,28/06/2026,5,Google,4,"Equipe atenciosa, já conhecem meu pedido"
AV0341,LJ11,28.02.2026,4,totem na loja,4,"Cold brew excelente"
AV0342,LJ11,2026-04-15,5,app,5,
AV0343,LJ11,09/01/2026,5,Google,,"Melhor espresso da região"
AV0344,LJ12,2026-06-11,"4,0",Google,999,"Wi-fi funciona bem, virei cliente da manhã"
AV0345,lj12,28/01/2026,4,Google,12,"Pão de queijo sempre quente"
AV0346,LJ12,12.04.2026,4,totem na loja,8,"Wi-fi funciona bem, virei cliente da manhã"
AV0347,LJ12,2026-05-14,4,google maps,14,"Cold brew excelente"
AV0348,LJ12,16/05/2026,5 estrelas,Google,999,"Pão de queijo sempre quente"
AV0349,LJ12,2026-02-10,"4,0",App,7,"Melhor espresso da região"
AV0350,LJ12,14/05/2026,4,App,14,"Ambiente agradável para trabalhar"
AV0351,LJ12,25.03.2026,4,Google,10,"Ambiente agradável para trabalhar"
AV0352,LJ12,2026-06-02,5,app,13,"Melhor espresso da região"
AV0353,LJ12,09/02/2026,4,totem na loja,8,"Preço justo pelo que entrega"
AV0354,LJ12,2026-02-19,3,google maps,14,"Café bom, cardápio poderia ter mais opções"
